Discovery Date,File Name,IP Address,ASN,ASN Name,MD5
2012-12-23,whitehat.su/4.exe,94{.}102{.}55{.}2,NL,29073,"ECATEL-AS AS29073, Ecatel Network",64204eec2720f4baf11395faa0fac369
2012-12-23,,95{.}211{.}162{.}230,NL,16265,LEASEWEB LeaseWeb B.V.,f9ba8726d416897885dae2f4dfa12fcc
2012-12-23,,23{.}23{.}130{.}85,US,14618,"AMAZON-AES - Amazon.com, Inc.",fdda08f3b1b21ef52da002b0d8d9f556
2012-12-23,derjismutik.info/a041212a/1/f/2.exe,85{.}143{.}166{.}135,RU,56534,"PIRIX-INET-AS PIRIX, ltd",ea89fdec2e49dc77eb8bf48fa251eb59
2012-12-23,whitehat.su/1.exe,94{.}102{.}55{.}2,NL,29073,"ECATEL-AS AS29073, Ecatel Network",880c1ff292877015c33622c2792aca13
2012-12-23,mytightride.info/missing.exe,97{.}74{.}144{.}118,US,26496,"PAH-INC - GoDaddy.com, Inc.",8234bc6c40bdb6840923d50d17736305
2012-12-23,down.privacyok.co.kr/20/PVOKinstRBrun.exe,124{.}217{.}218{.}9,KR,38661,HCLC-AS-KR HCLC,bde00da864ae551da18b90db5a878f8c
2012-12-23,whitehat.su/emnabc.exe,94{.}102{.}55{.}2,NL,29073,"ECATEL-AS AS29073, Ecatel Network",baf596562289cd32f87b379bf47539a5
2012-12-23,,115{.}238{.}251{.}56,CN,4134,"CHINANET-BACKBONE No.31,Jin-rong Street",8ca3a9368e769c4a974e3b698afa314e
2012-12-23,,46{.}105{.}98{.}193,FR,16276,OVH OVH Systems,97fe6ede04e8eef4055bee376c4f8df5
2012-12-23,wt1.97sky.cn/maxtocode.exe,221{.}209{.}235{.}5,CN,4837,CHINA169-BACKBONE CNCGROUP China169 Backbone,ca2b46f4d77bec05e3760b191e1557c5
2012-12-23,s.winggo.co.kr/tabsync/tabsync.exe,121{.}78{.}93{.}135,KR,9286,LGH-AS-KR LGHitachi,7ce51953176348f3d233aacd5485e9da
2012-12-23,,54{.}235{.}251{.}129,US,14618,"AMAZON-AES - Amazon.com, Inc.",0c7a9a600dbc8f5e2aaffaae726360ea
2012-12-23,,62{.}149{.}131{.}226,IT,31034,ARUBA-ASN Aruba S.p.A.,babf998e0309944e909c16c8023c8c5d
